Job Title,Skills,Certifications
Principle Engineer in Big Data,"Big Data Architecture, Hadoop, Spark, Kafka, Data Warehousing, Cloud Computing, Data Governance, Mentoring, Innovation","Cloudera Certified Professional (CCP), Google Cloud Professional Data Engineer"
Principle Engineer in Data Analysis,"Data Analysis, Statistics, SQL, Python, Data Visualization, Data Modeling, Mentoring, Innovation","Certified Analytics Professional (CAP), Microsoft Certified: Data Analyst Associate"
Principle Engineer in Machine Learning,"Machine Learning, Deep Learning, Python, TensorFlow, Cloud Computing, Model Deployment, Mentoring, Innovation","Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning – Specialty"
Production Support Engineer,"Troubleshooting, Linux, Windows Server, Scripting, Networking, Databases, Monitoring, Automation, ITIL","ITIL Foundation Certification, CompTIA A+"
Puppet Operations Engineer,"Puppet, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code","Puppet Certification, AWS Certified DevOps Engineer – Professional"
Senior Build and Release Engineer,"CI/CD, Jenkins, Git, Maven, Gradle, Docker, Kubernetes, Automation, Scripting, Linux, Build Tools, Leadership, Mentoring","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Senior Build Engineer,"Maven, Gradle, Ant, Jenkins, CI/CD, Git, Build Automation, Scripting, Linux, Version Control, Leadership, Mentoring","Jenkins Certification, AWS Certified Developer – Associate"
Senior DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Cloud Computing, Leadership","AWS Certified DevOps Engineer – Professional, Docker Certified Associate"
Site Reliability Engineer (Kubernetes – Docker),"SRE, Kubernetes, Docker, Linux, Cloud Computing, Monitoring, Automation, CI/CD, Networking, Troubleshooting","Certified Kubernetes Administrator (CKA), Docker Certified Associate"
Splunk Engineer,"Splunk, Data Analysis, Log Management, Security, Dashboards, Alerting, Scripting, Linux, AWS, Azure","Splunk Core Certified Power User, Splunk Enterprise Security Admin"
.NET Developer,".NET, C#, ASP.NET, SQL Server, Web API, MVC, Entity Framework, LINQ, Git, Cloud Computing","Microsoft Certified: .NET Developer, MCP: Programming in C#"
ACCESSIBILITY SPECIALIST,"WCAG, ARIA, Accessibility Testing, Assistive Technologies, HTML, CSS, JavaScript, UI/UX, ADA Compliance","IAAP CPACC, W3C Web Accessibility Specialist"
AGILE PROJECT MANAGER,"Agile Methodologies, Scrum, Kanban, Project Management, Stakeholder Management, Communication, Jira, Confluence","Project Management Professional (PMP), Certified ScrumMaster (CSM)"
Android Developer,"Android SDK, Java, Kotlin, UI/UX Design, REST APIs, SQL, Android Studio, Firebase, Mobile Development","Associate Android Developer, Google Play Store Certification"
Ansible Automation Engineer,"Ansible, Automation, Infrastructure as Code, Cloud Computing, AWS, Azure, Linux, Python, Scripting, Networking","Red Hat Ansible Automation Certification, AWS Certified DevOps Engineer - Professional"
AppDynamics Engineer,"AppDynamics, Application Performance Monitoring, Troubleshooting, Java, .NET, Cloud Computing, Metrics, Alerting","AppDynamics Certification, Cisco Application Centric Infrastructure (ACI)"
Application Security Engineer,"Application Security, SAST, DAST, Penetration Testing, Vulnerability Management, OWASP, Secure Coding, Cloud Security","Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH)"
Artifactory Engineer,"Artifactory, CI/CD, Jenkins, Maven, Gradle, Docker, Build Automation, Version Control, Git, Cloud Computing, Linux","JFrog Artifactory Certification, DevOps Institute Certifications"
AWS DevOps Engineer,"AWS, DevOps, CI/CD, Terraform, Ansible, CloudFormation, Docker, Kubernetes, Linux, Automation, Scripting","AWS Certified DevOps Engineer - Professional, Docker Certified Associate"
AWS Solutions Architect,"AWS, Cloud Architecture, AWS Lambda, EC2, S3, CloudFormation, DevOps, Terraform, Security, Cloud Security, Networking","AWS Certified Solutions Architect - Associate, AWS Certified Solutions Architect - Professional"
Azure DevOps Engineer,"Azure, DevOps, CI/CD, Terraform, Ansible, ARM Templates, Docker, Kubernetes, Linux, Automation, Scripting","Microsoft Certified: Azure DevOps Solutions Expert, Azure Fundamentals"
Bamboo Engineer,"Bamboo, CI/CD, Atlassian Suite, Automation, Scripting, Build Automation, Version Control, Git","Atlassian Bamboo Certification, CI/CD Certifications"
Bitbucket Engineer,"Bitbucket, Git, Version Control, CI/CD, Atlassian Suite, Branching Strategies, Code Review","Atlassian Bitbucket Certification, GitHub Proficiency Certifications"
Blockchain Developer,"Blockchain, Ethereum, Smart Contracts, Solidity, Cryptocurrency, Distributed Ledger, Consensus Algorithms, Web3, JavaScript, Node.js","Certified Blockchain Developer, Ethereum Developer Certification"
BUSINESS SYSTEMS ANALYST,"Business Analysis, Requirements Gathering, Process Improvement, Stakeholder Management, SQL, Data Analysis, UML, BPMN","CBAP - Certified Business Analysis Professional, PMI-PBA - PMI Professional in Business Analysis"
C# Developer,"C#, .NET, ASP.NET, SQL Server, Web API, MVC, Entity Framework, LINQ, Git, Cloud Computing","Microsoft Certified: C# Programmer, .NET Framework Certification"
Chef InSpec Engineer,"Chef InSpec, Compliance as Code, Automation, Security, Configuration Management, Linux, Cloud Computing","Chef InSpec Certification, HashiCorp Terraform Associate"
Cloud administrator,"Cloud Computing, AWS, Azure, Google Cloud, Linux, Networking, Security, Automation, Scripting, Virtualization","CompTIA Cloud+, Cloud Security Alliance CCSK"
CLOUD ARCHITECT,"Cloud Architecture, AWS, Azure, Google Cloud, Terraform, Cloud Security, Networking, Microservices, CI/CD, Automation, Docker, Kubernetes","Google Cloud Professional Cloud Architect, AWS Certified Solutions Architect"
Cloud automation engineer,"Cloud Computing, Automation, Terraform, Ansible, Python, Scripting, CI/CD, AWS, Azure, Google Cloud","HashiCorp Terraform Associate, Azure Automation Certifications"
Cloud engineer,"Cloud Computing, AWS, Azure, Google Cloud, Linux, Networking, Security, Automation, Scripting, Virtualization","Google Cloud Associate Cloud Engineering, CompTIA Cloud+"
Cloud network engineer,"Cloud Networking, AWS, Azure, Google Cloud, VPC, Subnets, Routing, Security Groups, Firewalls","Cisco CCNA Cloud, Cisco CCNP Cloud"
Cloud Security Engineer,"Cloud Security, IAM, Identity and Access Management, Encryption, AWS, Azure, GCP, Vulnerability Management, Compliance","Certified Cloud Security Professional (CCSP), CompTIA Security+"
CNC Programmer,"CNC Programming, G-Code, CAD/CAM, Machining, Manufacturing Processes, Blueprints, Toolpath Optimization","CNC Programming Certificate, Mastercam Certification"
Coder,"Programming, Algorithms, Data Structures, Problem Solving, Debugging, Software Development","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
COMPUTER GRAPHICS ANIMATOR,"3D Animation, 2D Animation, Motion Graphics, Adobe Creative Suite, Maya, Blender, Storyboarding, Visual Effects","Adobe Creative Suite Certifications, Maya Certifications"
Computer Hardware Engineer,"Hardware Design, Circuit Design, Embedded Systems, Microprocessors, PCB Design, Testing, Validation","CompTIA A+, Cisco CCNA"
Computer Network Architect,"Network Design, Routing, Switching, Security, LAN/WAN, TCP/IP, VPN, Firewalls, Cloud Networking","Cisco CCNP Network Design, Cisco CCIE Routing and Switching"
Computer Programmer,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++","Oracle Java Programmer Certification, Microsoft Technology Associate (MTA)"
Computer Research Scientist,"Research Methods, Data Analysis, Algorithms, Machine Learning, Publications, Scientific Writing, Programming","Certified Data Scientist (CDS), IEEE Certified Artificial Intelligence Engineer"
Computer Systems Analyst,"System Analysis, Requirements Gathering, Data Analysis, Process Improvement, UML, SQL, Stakeholder Management","Certified Business Analysis Professional (CBAP), ITIL Foundation Certification"
Confluence Engineer,"Confluence, Atlassian Suite, Collaboration, Documentation, Workflow Configuration, User Management","Atlassian Confluence Certification, AgilePM Certification"
Consul Engineer,"Consul, Service Discovery, Configuration Management, Networking, Automation, Cloud Computing","HashiCorp Certified: Consul Associate, Cloud Security Alliance CCSK"
Coverage.py Engineer,"Coverage.py, Python, Testing, Code Coverage, Quality Assurance, CI/CD","Python Institute Certifications, Certified Software Development Professional (CSDP)"
DATA ANALYST,"SQL, Excel, Data Visualization, Power BI, Python, R, Statistics, Data Mining, Data Cleansing, Tableau, ETL, Data Modeling","Microsoft Certified: Data Analyst Associate, Google Data Analytics Professional Certificate"
Data Engineer,"SQL, ETL, Data Warehousing, Python, Spark, Hadoop, Cloud Computing, Data Pipelines, Data Modeling","Google Cloud Professional Data Engineer, AWS Certified Big Data – Specialty"
DATA MODELER,"Data Modeling, SQL, Data Warehousing, Database Design, ER Diagrams, Data Governance","IBM Certified Data Modeler, Data Management Association (DAMA) CDMP"
DATA SCIENTIST,"Python, R, Machine Learning, Data Science, Statistics, SQL, Hadoop, Spark, Data Wrangling, Data Visualization, Cloud Computing","Certified Analytics Professional (CAP), Microsoft Certified: Azure Data Scientist Associate"
Database Administrator,"SQL, Database Management, MySQL, PostgreSQL, Oracle, Database Design, Performance Tuning, Backup and Recovery","Oracle Database SQL Certified Associate, Microsoft Certified: Azure Database Administrator Associate"
Datadog Engineer,"Datadog, Monitoring, Alerting, Metrics, Dashboards, Cloud Computing, Linux, Troubleshooting","Datadog Monitoring Certification, AWS Certified DevOps Engineer – Professional"
Developer,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++","CompTIA IT Fundamentals+, .NET Developer Certification"
DevOps Architect,"Cloud Computing, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Ansible, CI/CD, Automation, Security, Networking","AWS Certified Solutions Architect – Professional, Google Cloud Professional DevOps Engineer"
DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Scripting, Cloud Computing","AWS Certified DevOps Engineer – Professional, Docker Certified Associate"
DEVOPS MANAGER,"DevOps, Team Management, Project Management, CI/CD, Cloud Computing, Automation, Communication, Leadership, Budgeting","Project Management Professional (PMP), Certified ScrumMaster (CSM)"
DevSecOps Architect,"DevSecOps, Cloud Security, Kubernetes, Docker, Terraform, Ansible, CI/CD, Security Automation, Vulnerability Management","Certified Information Systems Security Professional (CISSP), DevSecOps Foundation Certification"
DevSecOps Engineer,"DevSecOps, Kubernetes, Docker, Cloud Security, Penetration Testing, Continuous Security, CI/CD, AWS, Terraform, Vulnerability Scanning","Certified DevSecOps Practitioner, AWS Certified Security – Specialty"
Director of Engineering,"Team Management, Project Management, Software Development, Agile Methodologies, Budgeting, Communication, Leadership","Project Management Professional (PMP), Executive Leadership Programs"
Docker Engineer,"Docker, Containerization, Kubernetes, CI/CD, Linux, Cloud Computing, Automation, Networking","Docker Certified Associate, AWS Certified Solutions Architect"
ELK Engineer,"Elasticsearch, Logstash, Kibana, Data Visualization, Log Management, Linux, AWS, Azure, Networking, Security","Elastic Certified Engineer, Elastic Stack Certification"
Embedded Software Engineer,"Embedded C, RTOS, Microcontrollers, Firmware Development, Hardware Design, Communication Protocols, Testing","Certified Embedded Systems Engineer (CESE), Embedded C Programming Certification"
Entry Level Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Entry Level Network Engineer,"Networking, TCP/IP, Routing, Switching, Linux, Windows Server, Troubleshooting","Cisco CCNA Routing and Switching, CompTIA Network+"
Entry Level Programmer,"Programming, Algorithms, Data Structures, Python, Java, C++, Debugging","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Entry Level Software Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Entry Level Software Engineer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Entry Level Web Developer,"HTML, CSS, JavaScript, Git, Web Development Fundamentals, UI/UX Basics","HTML/CSS/JavaScript Certifications, Coding Bootcamp Certificates"
Envoy Engineer,"Envoy, Service Mesh, Networking, Kubernetes, Docker, Cloud Computing, Traffic Management, Security","Service Mesh Certifications, Cloud Native Computing Foundation Certifications"
Falco Engineer,"Falco, Security, Kubernetes, Docker, Cloud Computing, Threat Detection, System Monitoring","Cloud Native Security Certifications, Kubernetes Security Specialist Certification"
FluentD Engineer,"FluentD, Log Management, Data Collection, Data Processing, Elasticsearch, Kibana, Cloud Computing","FluentD Certification (if available), Cloud Native Computing Foundation Certifications"
Fortify Engineer,"Fortify, Static Code Analysis, Security, Vulnerability Management, Software Development, Java, .NET","Fortify Software Security Center Certification, Certified Ethical Hacker (CEH)"
FRAMEWORKS SPECIALIST,"React, Angular, Vue.js, Spring Framework, Django, Framework Development, JavaScript, Java, Python","Framework-Specific Certifications (e.g., React, Angular), Agile Methodologies Certifications"
Front End Developer,"JavaScript, HTML, CSS, React, Angular, Vue.js, Node.js, TypeScript, Sass, UI/UX Design","JavaScript Developer Certificate, Front-End Web Developer Nanodegree"
Front End Web Developer,"JavaScript, HTML, CSS, React, Angular, Vue.js, Node.js, TypeScript, Sass, UI/UX Design","JavaScript Developer Certificate, Front-End Web Developer Nanodegree"
Full Stack Developer,"JavaScript, HTML, CSS, Node.js, React, Angular, Express.js, MongoDB, SQL, Python, Django, DevOps, CI/CD","Full Stack Web Development Bootcamp, JavaScript Developer Certificate"
Full Stack JAVA Developer/Programmer/Engineer,"Java, Spring Framework, Hibernate, J2EE, SQL, REST APIs, JUnit, Maven, Git, Jenkins, Cloud Computing, Microservices, JavaScript, HTML, CSS, React","Oracle Java Programmer Certification, Spring Framework Certification"
Full Stack Python Developer/Programmer/Engineer,"Python, Django, Flask, REST APIs, SQL, Data Structures, Algorithms, Cloud Computing, Linux, Docker, Git, JavaScript, HTML, CSS, React","Python Institute Certifications, Django for Everybody Specialization"
Game Developer,"Unity, C++, Game Design, Game Engines, C#, VR Development, JavaScript, Unreal Engine","Unity Certified Developer, Game Design and Development Specialization"
GCP DevOps Engineer,"Google Cloud, DevOps, CI/CD, Terraform, Ansible, Docker, Kubernetes, Linux, Automation, Scripting","Google Cloud Professional DevOps Engineer, Google Cloud Associate Cloud Engineer"
Gerrit Engineer,"Gerrit, Git, Code Review, Linux, Automation, Scripting, Version Control","Gerrit Code Review Certification (if available), GitHub Proficiency Certifications"
Git Engineer,"Git, Version Control, Branching Strategies, Code Review, CI/CD, Automation, Scripting","GitHub Proficiency Certifications, GitLab Certifications"
Github Engineer,"GitHub, Git, Version Control, CI/CD, Automation, Scripting, GitHub Actions","GitHub Proficiency Certifications, GitLab Certifications"
GitLab Engineer,"GitLab, Git, Version Control, CI/CD, Automation, Scripting, GitLab CI","GitLab Certified Associate, GitLab CI/CD Certification"
Gradle Engineer,"Gradle, Build Automation, Java, Groovy, CI/CD, Version Control, Git","Gradle Certification, Java Developer Certification"
Grafana Engineer,"Grafana, Data Visualization, Monitoring, Alerting, Metrics, Dashboards, Linux, Cloud Computing","Grafana Certified Associate, Monitoring and Observability Certifications"
Groovy Engineer,"Groovy, Scripting, Jenkins, Automation, Java, Build Automation","Groovy Certification, Java Developer Certification"
INFORMATION ARCHITECT,"Information Architecture, UI/UX Design, User Research, Wireframing, Prototyping, Content Strategy","Certified Information Architect (CIA), User Experience Professional Certification"
Information Security Analyst,"Security, Network Security, Firewalls, IDS/IPS, Vulnerability Management, Penetration Testing, Security Auditing","Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH)"
INTERACTION DESIGN
ER,"Interaction Design, UI/UX Design, Prototyping, User Research, Wireframing, Usability Testing","Interaction Design Foundation Certifications, Certified Usability Analyst (CUA)"
IOS Developer,"Swift, Objective-C, iOS SDK, XCode, UI/UX Design, REST APIs, SQL, Mobile Development","Apple Certified iOS Developer, iOS App Development Bootcamp"
Istio Engineer,"Istio, Service Mesh, Kubernetes, Docker, Cloud Computing, Networking, Traffic Management, Security","Istio Certification (if available), Cloud Native Computing Foundation Certifications"
IT Manager,"Project Management, Team Leadership, Agile Methodologies, Budgeting, IT Infrastructure, Networking, Cloud Computing, Cybersecurity","Project Management Professional (PMP), ITIL Foundation Certification"
JaCoCO Engineer,"JaCoCO, Code Coverage, Java, Testing, Quality Assurance, CI/CD","Java Developer Certification, JUnit Certification"
Java Developer,"Java, Spring Framework, Hibernate, J2EE, SQL, REST APIs, JUnit, Maven, Git, Jenkins, Cloud Computing, Microservices","Oracle Certified Professional, Java SE Programmer, Spring Framework Certification"
JavaScript Developer,"JavaScript, HTML, CSS, React, Angular, Vue.js, Node.js, TypeScript, Sass, UI/UX Design","JavaScript Developer Certificate, Certified JavaScript Developer"
Jenkins Engineer,"Jenkins, CI/CD, Automation, Groovy, Scripting, Linux, Docker, Kubernetes, Build Automation, Version Control","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
JIRA Engineer,"Jira, Atlassian Suite, Agile Methodologies, Workflow Configuration, User Management, Project Management","Atlassian Jira Administration Certification, AgilePM Certification"
Jr Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Front End Developer,"JavaScript, HTML, CSS, React, Vue.js, Git, UI/UX Basics","HTML/CSS/JavaScript Certifications, Front-End Web Development Bootcamp"
Junior IOS Developer,"Swift, Objective-C, iOS SDK, XCode, UI/UX Basics, Git","Apple Certified iOS Developer, iOS App Development Bootcamp"
Junior Software Developer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Software Engineer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Junior Web Developer,"HTML, CSS, JavaScript, Git, Web Development Fundamentals, UI/UX Basics","HTML/CSS/JavaScript Certifications, Front-End Web Development Bootcamp"
JUnit Engineer,"JUnit, Java, Testing, Unit Testing, Test Automation, CI/CD","JUnit Certification, Java Developer Certification"
kubernetes Administrator,"Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security",Certified Kubernetes Administrator (CKA)/Certified Kubernetes Security Specialist (CKS)/AWS Certified Kubernetes Specialist /Red Hat Certified Specialist in OpenShift 
Kubernetes Engineer,"Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security","Certified Kubernetes Administrator (CKA), Docker Certified Associate"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, Keras, PyTorch, Data Analysis, Deep Learning, Natural Language Processing, Computer Vision, Data Science, Algorithms","Microsoft Certified: Azure Data Scientist Associate, TensorFlow Developer Certificate"
MAVEN Engineer,"Maven, Java, Build Automation, Dependency Management, CI/CD, Version Control, Git","Maven Certification, Java Developer Certification"
Micro services / API Lead Designer,"Microservices, API Design, REST APIs, SOA, Cloud Computing, Java, Python, Security","AWS Certified Solutions Architect/Google Professional Cloud Architect, Microsoft Certified-Azure Solutions Architect Expert/API Design & Management certifications "
MOBILE APP DEVELOPER,"Android SDK, Java, Kotlin, iOS, Swift, Objective-C, React Native, Flutter, Mobile Development, UI/UX Design","Google Associate Android Developer, Apple Certified iOS Developer"
Mobile Application Developer,"Android SDK, Java, Kotlin, iOS, Swift, Objective-C, React Native, Flutter, Mobile Development, UI/UX Design","Google Associate Android Developer, Apple Certified iOS Developer"
Mulesoft Developer,"MuleSoft, Anypoint Platform, API Development, Integration, Java, REST APIs, SOA","MuleSoft Certified Developer, MuleSoft Certified Architect"
Nagios Engineer,"Nagios, Monitoring, Linux, Scripting, Alerting, System Administration, Networking","Nagios Core Administration Certification, Linux Administration Certifications"
Network and Systems Administrator,"Networking, Linux, Windows Server, Troubleshooting, Scripting, Automation, System Administration","CompTIA Network+, Cisco CCNA"
Network Engineer,"TCP/IP, LAN/WAN, Routing, Switching, Firewalls, VPN, Cisco, Security, Networking Protocols","Cisco CCNA, CompTIA Network+"
New Grad Software Engineer,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
New Relic Engineer,"New Relic, Application Performance Monitoring, Troubleshooting, Java, .NET, Cloud Computing, Metrics, Alerting","New Relic Monitoring and Observability Certifications, AWS Certified DevOps Engineer – Professional"
Nexus Engineer,"Nexus, Artifact Repository, Maven, Gradle, Docker, CI/CD, Build Automation","Nexus Repository Manager Certification, DevOps Institute Certifications"
Nomad Engineer,"Nomad, Container Orchestration, Docker, Linux, Cloud Computing, Automation, Networking","HashiCorp Certified: Nomad Associate, Cloud Native Computing Foundation Certifications"
Notary Engineer,"Notary, Security, Docker, Container Security, Cryptography, Trust Management","Notary Security Certifications, Docker Security Certifications"
Octopus Deploy Engineer,"Octopus Deploy, Deployment Automation, CI/CD, .NET, PowerShell, Scripting, Cloud Computing","Octopus Deploy Certification, CI/CD Certifications"
OpenShift Engineer,"OpenShift, Kubernetes, Docker, Linux, Cloud Computing, CI/CD, Automation, Security","Red Hat OpenShift Administration Certification, Kubernetes Administrator Certification"
OpenStack Engineer,"OpenStack, Cloud Computing, Virtualization, Networking, Linux, Automation, Scripting","OpenStack Administrator Certification, Cloud Infrastructure Certifications"
Oracle Developer,"Oracle, SQL, PL/SQL, Database Design, Performance Tuning, ETL","Oracle Certified Professional, Java SE Programmer, Oracle Database SQL Certified Associate"
Oracle SQL Developer,"Oracle SQL Developer, SQL, PL/SQL, Database Development, Performance Tuning, ETL","Oracle SQL Certified Associate, Oracle Database SQL Expert"
Packer Engineer,"Packer, Infrastructure as Code, Cloud Computing, Automation, AWS, Azure, Google Cloud","HashiCorp Certified: Packer Associate, Infrastructure as Code Certifications"
PHP Developer,"PHP, MySQL, Laravel, JavaScript, CSS, HTML, RESTful APIs, Symfony, Git","Zend Certified PHP Engineer, PHP Framework Certifications"
Powershell Engineer,"PowerShell, Scripting, Automation, Windows Server, Cloud Computing, Active Directory","Microsoft Certified: Azure Administrator Associate, Windows PowerShell Training"
PRODUCT MANAGER,"Product Management, Agile Methodologies, User Research, Roadmap Planning, Stakeholder Management, Communication","Certified Scrum Product Owner (CSPO), Product Management Professional (PMP)"
